title,blog_url,affiliate_link,mood_text
慶余年2,https://poupe.hatenadiary.jp/search?q=%76%59%742,https://www.amazon.co.jp/%E6%85%B6%E4%BD%99%E5%B9%B4%EF%BC%92%EF%BD%9E%E9%BA%92%E9%BA%9F%E5%85%90%E3%80%81%E6%8C%91%E3%82%80%EF%BD%9E-DVD-BOX1-DVD-%E3%83%81%E3%83%A3%E3%83%B3%E3%83%BB%E3%83%AB%E3%82%AA%E3%83%A6%E3%83%B3/dp/B0FX97279J?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=3M2EJ5HYMOINZ&dib=eyJ2IjoiMSJ9._txN8e_FDH9f95z4AjfjIFmaslV2NjogPtQd-9F0Mg_MpzGX9AmBB3dLbvmIkkMTi8QwPeuu_dzWD2o00qz7_d-Mz44FtdfvKe6sd-NgaDGI2C0_d5kEMlrYgB4jM_Smj_vRSmj68qGaZOGG_Q16dzaFiYbiwijnyGLYgWCNP_b9iWFclOaqyetAYkkDoNohH6cDYDSna1adVQfSjjMNLmHq5mEs6Hq3f12J77atXZonwiLArJYMtN51y5lstSfmaayrG-RwAZc_6p5Njxef9NdPQpt45bKRv9GhqPiWxi8.a40BnSCJzmz-gAs2iE5XiF9_Xne0AJOuapwwmuqlMzo&dib_tag=se&keywords=%E6%85%B6%E4%BD%99%E5%B9%B42&qid=1765528565&sprefix=%E6%85%B6%E4%BD%99%E5%B9%B42%2Caps%2C194&sr=8-1&linkCode=ll1&tag=poupe-22&linkId=a1c1258d807fbe8551162729012790d7&language=ja_JP&ref_=as_li_ss_tl,"歴史, SF, 復讐, 仲間, 家族愛, 転生, 秘密, 泣ける, 感動, コメディ, シリアス, ほのぼの, ドキドキ, 俳優"
蔵海伝,https://poupe.hatenadiary.jp/search?q=%35%77%1D,,"SF, ホラー, 復讐, 仲間, 秘密, 笑える, コメディ, シリアス, 俳優"
折腰,https://poupe.hatenadiary.jp/search?q=%98%70,,"ラブコメ, 歴史, 復讐, 仲間, 泣ける, 笑える, コメディ, 甘い, シリアス, 俳優"
シンデレラはオンライン中！,https://poupe.hatenadiary.jp/search?q=%B7%F3%C7%EC%E9%6F%AA%F3%E9%A4%F3%2D%01,https://www.amazon.co.jp/gp/video/detail/B073HTB25Q?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B073HVXSWV&qid=1765528587773&linkCode=ll2&tag=poupe-22&linkId=4aa3b05efaf3cddf9029d6f7bd46d303&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, 仲間, 感動, 俳優, 中国ドラマ, 華流"
永遠の桃花,https://poupe.hatenadiary.jp/search?q=%38%60%6E%43%B1,https://www.amazon.co.jp/gp/video/detail/B0FKC1XG6R?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0FKCYWNBG&qid=1765528599944&linkCode=ll2&tag=poupe-22&linkId=71dc21c1c8c0ede39447ebf4a36bb779&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, ホラー, 復讐, 師弟, スカッと, 俳優"
東宮,https://poupe.hatenadiary.jp/search?q=%71%AE,https://www.amazon.co.jp/gp/video/detail/B08GWPLJN2?sr=1-2&pageTypeIdSource=ASIN&pageTypeId=B08GWMRF2R&qid=1765528637739&linkCode=ll2&tag=poupe-22&linkId=b4c0d6a15519dd4b4662ad3e77bb38bf&language=ja_JP&ref_=as_li_ss_tl,"記憶喪失, 復讐, 師弟, 甘い, 俳優"
浮図縁,https://poupe.hatenadiary.jp/search?q=%6E%F3%01,https://www.amazon.co.jp/gp/video/detail/B0DRB1ZNMT?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0DRB4QDXC&qid=1765528649502&linkCode=ll2&tag=poupe-22&linkId=094b545f1a03dd0f7e448a45952966f5&language=ja_JP&ref_=as_li_ss_tl,"復讐, 秘密, 甘い, 俳優, 中国ドラマ, 華流"
無憂渡,https://poupe.hatenadiary.jp/search?q=%21%82%21,,"三角関係, 復讐, 仲間, 泣ける, 俳優"
安楽伝,https://poupe.hatenadiary.jp/search?q=%89%7D%1D,https://www.amazon.co.jp/gp/video/detail/B0DNV8MHJ6?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0DNVB35LB&qid=1765528664785&linkCode=ll2&tag=poupe-22&linkId=0c1efce83bbbc4486d81be4550a279f5&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, ホラー, 復讐, 仲間, 秘密, イケメン, 俳優"
三千鴉の恋歌,https://poupe.hatenadiary.jp/search?q=%09%43%09%6E%4B%4C,https://www.amazon.co.jp/%E4%B8%89%E5%8D%83%E9%B4%89-%E3%82%B5%E3%83%B3%E3%82%BC%E3%83%B3%E3%82%AC%E3%83%A9%E3%82%B9-%E3%83%AC%E3%83%B3%E3%82%BF%E3%83%AB%E8%90%BD%E3%81%A1-%E5%85%A815%E5%B7%BB%E3%82%BB%E3%83%83%E3%83%88-%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%83%E3%83%88%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9DVD%E3%82%BB%E3%83%83%E3%83%88%E5%95%86%E5%93%81/dp/B0CD2HGLBZ?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=275F9T4E35MIS&dib=eyJ2IjoiMSJ9.WsTSzi00CwF5cMi6rT4ijzTTLVWzAmNLS2hGzOHT62VeSR57Q9AroqnjZvHNhYEokX1UtYKOm4TlHMo6lqPLJpF2oVlQJZ80YaBNzZ_cbuex-GvD-tGoaQ4Le9Z48If4mN16HeWn_9wbMNDBLk4pQQdihcEjddcfjh8EjPhq3m3SQdagOeN_k3IwAZ0QN1O4YlZxfTzwbLe6UkhMbGWGbvJooemEAAeajqZGd4rZj3rYAPIUCgqG9HKuGu9XD6EAN1fUSZ17adkcTvkWwuGia_LuuhD4pb_onKoFVXsCu3w.p_zoGYBsJvFNr_-ic8Wsj24x6l1_S7KykgOGNt0ab4g&dib_tag=se&keywords=%E4%B8%89%E5%8D%83%E9%B4%89%E3%81%AE%E6%81%8B%E6%AD%8C&qid=1765528684&sprefix=%E4%B8%89%E5%8D%83%E9%B4%89%E3%81%AE%E6%81%8B%E6%AD%8C%2Caps%2C213&sr=8-2&linkCode=ll1&tag=poupe-22&linkId=19efee0670c539be595c8c9a0521d7f8&language=ja_JP&ref_=as_li_ss_tl,"ファンタジー, 復讐, 秘密, イケメン, 俳優, ラブストーリー"
