Title,Channel,Schedule,URL
"華◆仙台有樹〈せんだいゆうじゅ〉〜二度目の恋結び〜","衛星劇場","衛星劇場 09-05 07:00, 09-06 22:00, 09-06 23:00, 09-12 06:00, 09-12 07:00, 09-13 22:00, 09-13 23:00, 09-19 06:00, 09-19 07:00, 09-20 22:00, 09-20 23:00, 09-26 06:00, 09-26 07:00, 09-27 22:00, 09-27 23:00","https://poupe.hatenadiary.jp/entry/2025/02/07/%E3%80%8E%E4%BB%99%E5%8F%B0%E6%9C%89%E6%A8%B9%E3%80%8F%E5%85%A8%E8%A9%B1%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"独孤伽羅〜皇后の願い〜　ほどけた絆","J:COM","J:COM 09-05 10:00","https://tvguide.myjcom.jp/detail/?eid=3_1889074"
"独孤伽羅〜皇后の願い〜　新婚初夜","J:COM","J:COM 09-05 11:30","https://tvguide.myjcom.jp/detail/?eid=3_1889076"
"華◆入青雲　▼ホウ・ミンハオ、ルー・ユーシアオ","衛星劇場","衛星劇場 09-05 13:00, 09-05 14:00, 09-07 21:00, 09-07 22:00, 09-12 13:00, 09-12 14:00, 09-14 21:00, 09-14 22:00, 09-19 13:00, 09-19 14:00, 09-21 21:00, 09-21 22:00, 09-26 13:00, 09-26 14:00, 09-28 21:00, 09-28 22:00","https://poupe.hatenadiary.jp/entry/2025/10/08/%E3%80%8E%E5%85%A5%E9%9D%92%E4%BA%91%E3%80%8F%E5%85%A8%E8%A9%B1_%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"独孤伽羅〜皇后の願い〜　王妃の里帰り","J:COM","J:COM 09-05 13:00","https://tvguide.myjcom.jp/detail/?eid=3_1889078"
"独孤伽羅〜皇后の願い〜　誘惑の罠","J:COM","J:COM 09-05 14:30","https://tvguide.myjcom.jp/detail/?eid=3_1889080"
"華◆臨江仙 〜宿敵となった愛しき人〜　▼バイ・ルー","衛星劇場","衛星劇場 09-05 15:00, 09-05 16:00, 09-08 21:00, 09-08 22:00, 09-12 15:00, 09-12 16:00, 09-15 21:00, 09-15 22:00, 09-19 15:00, 09-19 16:00, 09-22 21:00, 09-22 22:00, 09-26 15:00, 09-26 16:00, 09-29 21:00, 09-29 22:00","https://poupe.hatenadiary.jp/entry/2025/06/06/%E3%80%8E%E4%B8%B4%E6%B1%9F%E4%BB%99%E3%80%8F%E5%85%A8%E8%A9%B1%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"独孤伽羅〜皇后の願い〜　未練と執着","J:COM","J:COM 09-05 16:00","https://tvguide.myjcom.jp/detail/?eid=3_1889082"
"「唐朝詭事録 第二季−To the West−」〜２７","チャンネル銀河","チャンネル銀河 09-05 22:00","https://poupe.hatenadiary.jp/entry/2024/07/19/%E3%80%8E%E5%94%90%E6%9C%9D%E8%A9%AD%E4%BA%8B%E9%8C%B2%E4%B9%8B%E8%A5%BF%E8%A1%8C%E3%80%8F%E5%85%A8%E8%A9%B1%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"華◆白月の誓い　▼バイ・ルー、アオ・ルイポン","衛星劇場","衛星劇場 09-06 01:45, 09-06 02:35, 09-06 03:25, 09-06 04:15, 09-06 05:05, 09-13 01:45, 09-13 02:35, 09-13 03:25, 09-13 04:15, 09-13 05:05, 09-20 01:45, 09-20 02:35, 09-20 03:25, 09-20 04:15, 09-20 05:05, 09-27 01:45, 09-27 02:35, 09-27 03:25, 09-27 04:15, 09-27 05:05","https://poupe.hatenadiary.jp/entry/2025/01/07/%E3%80%8E%E7%99%BD%E6%9C%88%E6%A2%B5%E6%98%9F%E3%80%8F%E5%85%A8%E8%A9%B1%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"掌心〜宮廷に響く復讐の鈴音〜","チャンネル銀河","チャンネル銀河 09-06 04:00, 09-06 05:00, 09-06 06:00, 09-13 04:00, 09-13 05:00, 09-13 06:00, 09-20 04:00, 09-20 05:00, 09-20 06:00, 09-27 04:00, 09-27 05:00, 09-27 06:00","https://poupe.hatenadiary.jp/entry/2025/02/07/%E3%80%8E%E6%8E%8C%E5%BF%83%E3%80%8F%E5%85%A8%E8%A9%B1%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"法医学者 マダム・エール","BS11","BS11 09-06 09:59","https://tvguide.myjcom.jp/detail/?eid=3_1889727"
"星より輝く君へ","BS12","BS12 09-06 13:00, 09-06 14:30","https://poupe.hatenadiary.jp/entry/2024/07/02/%E3%80%8E%E4%BD%A0%E6%AF%94%E6%98%9F%E5%85%89%E7%BE%8E%E4%B8%BD%E3%80%8F%E5%85%A8%E8%A9%B1%E3%81%82%E3%82%89%E3%81%99%E3%81%98%E3%83%8D%E3%82%BF%E3%83%90%E3%83%AC%E6%84%9F%E6%83%B3"
"［初］華◆永夜星河〜シークレット・ラブミッション〜［字］","LaLa TV","LaLa TV 09-06 20:00, 09-06 21:00, 09-13 20:00, 09-13 21:00, 09-20 20:00, 09-20 21:00","https://tvguide.myjcom.jp/detail/?eid=120_18442665"
